scan,ca_pct,pass
602,85.6315289648623,True
603,89.29463025848568,True
604,44.10437265151038,False
605,83.12324753075505,True
606,78.87592421441775,True
607,39.27640251940823,False
608,74.35335658980686,True
609,86.53427772234309,True
610,91.68424168424168,True
611,99.97914276775471,True
612,93.70351560295694,True
613,87.9914757591902,True
614,79.50618239517019,True
615,96.3264734144779,True
616,97.776582391967,True
617,64.71239931730395,False
618,82.86834177735177,True
619,88.35505863831035,True
620,95.58528943448559,True
621,82.28026145232907,True
622,77.62817992924131,True
623,89.90416249463597,True
624,96.76383607942543,True
625,78.74144307183886,True
626,77.96111799235284,True
627,98.85074320560557,True
628,71.60380889018253,True
629,97.25504350138672,True
630,56.29225052603304,False
631,95.52252437381556,True
